2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearRemodAdd
551.0,2,1,10.705856384803225,0,35.34521415917881,32.72905167612935,1,34.899856733230294,0,7862.0,75.0,19.697715603592208,4.913238464604216,0,4,1218.0,2009
1208.0,3,1,92.16113365019682,1,33.65454224258882,36.93534143485622,1,47.57099956906519,0,9240.0,100.0,19.8997487421324,4.000545758361262,0,2,1055.0,2002
983.0,3,1,94.5017689050046,6,16.498736819484833,25.520840528687387,0,30.903074280724887,1,7742.0,66.0,20.688160865577203,3.755002032520848,1,1,955.0,1966
807.0,3,0,65.07750308382124,0,22.239944425768105,30.475069797140023,1,44.51965857910413,0,11287.0,82.0,18.43908891458577,4.694936111404927,2,3,807.0,1989
874.0,3,0,110.83663212338162,0,26.630743807783265,28.67039506334974,1,44.19275958796871,0,17619.5,80.0,8.48528137423857,5.769902858041296,0,4,1580.0,1992
546.0,2,1,54.40430168285364,6,21.469716565484976,21.49418598023193,0,34.899856733230294,1,1680.0,29.625,16.76305461424021,3.480152551864461,1,4,672.0,1972
720.0,3,1,52.53815875790158,3,29.5278955662932,27.060287409469723,0,40.43513323831146,1,8737.0,70.0,16.911534525287763,3.8143666290011233,1,4,1065.0,2007
833.0,3,1,92.08248298308196,3,17.36471260426537,22.07763900543493,2,30.789608636681304,1,8190.0,60.0,17.60681686165901,3.755002032520848,2,5,948.0,1954
808.0,0,0,85.31960837385193,0,29.225507239022285,24.857214097044174,0,30.983866769659336,1,10246.0,53.0,17.08800749063506,5.096814688707593,5,5,648.0,2001
709.0,2,1,24.91898369410758,1,37.63587455151523,30.498488261387344,2,37.30951621235526,1,13560.0,110.625,14.696938456699067,4.694936111404927,4,4,1392.0,1968
981.0,3,1,130.29079106823238,1,27.99957121514293,36.568807923979605,0,34.84250278036869,1,10410.0,60.0,19.974984355438178,5.740336616413373,6,7,672.0,1969
900.0,3,4,99.45476439281973,0,16.04021372153406,30.521882720586994,1,45.71651780264984,0,5062.0,79.0,15.874507866387544,4.024807833554388,0,3,1190.0,1984
518.0,1,2,107.5078660755634,2,35.1648677275967,29.63976342645334,0,31.432467291003423,1,17619.5,75.0,16.15549442140351,5.18751265909374,0,4,938.0,1969
1152.0,3,1,74.32178157374116,3,23.494160657477448,26.839552106240397,1,30.983866769659336,1,10921.0,73.0,6.928203230275509,4.747141706939327,0,5,960.0,1965
780.0,3,1,65.46626636688084,1,34.12737278819444,22.779899896855824,0,33.94112549695428,0,14000.0,80.0,15.231546211727816,3.755002032520848,3,4,1092.0,2004
702.0,2,1,67.1030203355008,6,27.176512244719785,26.950218833591617,0,32.66496594212215,0,9600.0,60.0,10.0,3.5554284749760274,1,5,1067.0,1995
1218.0,3,1,122.3306009477386,2,40.624672024386896,29.49338549669849,2,42.36744032862972,0,9742.0,75.0,16.76305461424021,5.416521582865572,0,2,1777.0,2002
950.0,3,0,59.98877943743538,6,20.410998969601167,28.695797124350428,1,40.84115571332428,0,10635.0,48.0,13.07669683062202,5.769902858041296,0,2,1657.0,2003
689.0,5,1,17.68223080379157,1,30.737249859644265,27.087712107714744,0,46.19523784980439,0,11888.0,80.0,17.88854381999832,4.319207044853214,2,4,844.0,1994
779.0,4,0,61.31030192870168,3,30.57322346916552,24.857214097044174,2,39.06404996924922,1,8562.0,68.0,12.041594578792296,4.611900562248223,2,1,1216.0,2002
462.0,2,2,68.99786019698331,0,25.58368037078144,22.67636206937109,0,31.432467291003423,1,1596.0,25.0,10.295630140987,4.902134434085525,0,5,462.0,1973
1051.0,3,0,90.81838404255588,6,18.58903071141539,27.060287409469723,0,31.12876483254676,1,10356.0,113.0,15.362291495737216,4.024807833554388,2,1,969.0,1975
1336.625,3,1,52.20465152585837,1,29.965085767072352,36.29697891393093,3,38.948684188300895,3,8500.0,85.0,21.02379604162864,4.458591057105233,1,1,793.0,2005
631.0,3,1,110.90678330154714,1,37.307737191383815,26.92260856995494,0,39.82461550347976,1,17043.0,48.0,13.038404810405298,5.632083297762229,0,4,1362.0,1998
748.0,3,1,137.10085642473547,1,26.500936384822765,32.64372471781703,1,50.547007824400445,1,11526.0,79.0,10.198039027185567,5.365214466619282,1,4,588.0,1994
988.0,3,1,78.72989180058691,3,31.423439622809184,27.060287409469723,2,41.48493702538308,1,10335.0,78.0,10.198039027185567,4.844956368377691,2,1,1461.0,1993
840.0,3,0,96.27230611892072,0,11.261227596272288,27.00532734649144,0,33.85262175962151,0,9590.0,73.0,21.02379604162864,3.2180821585371326,0,3,868.0,2003
1070.0,2,2,107.36480767633329,0,27.01453335402337,32.64372471781703,0,30.59411708155671,1,7200.0,60.0,13.41640786499874,5.350132137286602,0,1,936.0,1980
